origin destination reason MODO HMV RED duration distance strata age gender FEV ID 
65 130 6 3 19.25 PM 30 4.3327 s_5 50 1 81.58000575 105 
130 159 1 3 9.625 AM 15 1.9699 s_5 40 2 81.58000575 106 
159 130 6 3 20.125 PM 15 1.9699 s_5 40 2 81.58000575 106 
123 258 5 3 11.00 MD 120 8.6986 s_5 63 1 81.58 107 
258 123 6 3 21.00 PM 120 8.6986 s_5 63 1 81.58 107 
123 80 1 3 7.67 AM 20 4.599 s_5 33 2 73.42 108 
80 123 6 3 19.75 PM 30 4.599 s_5 33 2 81.58 108 
123 80 7 3 7.67 AM 20 4.599 s_5 25 1 73.42 109 
80 123 6 3 8.08 AM 30 4.599 s_5 25 1 81.58 109 
123 5 2 3 17.17 PM 20 2.841 s_5 25 1 163.16 109 
5 123 6 3 22.25 MN 30 2.841 s_5 25 1 81.58 109 
123 63 1 3 7.625 AM 15 3.2573 s_5 34 1 48.94800345 110 
63 123 6 3 18.625 PM 15 3.2573 s_5 34 1 57.10600402 110 
123 120 1 5 6.083 AM 10 0.6473 s_5 67 2 130.5280092 111 
120 318 1 3 6.418 AM 29.8 9.387 s_5 67 2 81.58000575 111 
318 120 6 3 18.25 PM 30 9.387 s_5 67 2 81.58000575 111 
120 123 6 5 18.583 PM 10 0.6473 s_5 67 2 146.8440103 111 
123 131 3 3 9.542 AM 5 0.8731 s_5 63 1 81.58000575 112 
131 123 7 3 10.042 MD 5 0.8731 s_5 63 1 81.58000575 112 
123 393 3 3 10.377 MD 24.8 1.2802 s_5 63 1 81.58000575 112 
393 123 6 3 10.875 MD 15 1.2802 s_5 63 1 81.58000575 112 
123 74 7 3 14.292 MD 35 5.0302 s_5 63 1 81.58000575 112 
74 92 7 3 14.79 MD 25.2 2.2941 s_5 63 1 81.58000575 112 
92 81 4 3 15.835 MD 19.8 2.1573 s_5 63 1 81.58000575 112 
81 80 4 3 16.583 PM 10 0.8459 s_5 63 1 81.58000575 112 
80 74 7 3 16.875 PM 15 0.6927 s_5 63 1 81.58000575 112 
74 123 6 3 17.373 PM 35.2 5.0302 s_5 63 1 89.73800632 112 
123 9 1 3 8.25 AM 30 3.5366 s_5 65 2 81.58000575 113 
9 123 6 3 12.25 MD 30 3.5366 s_5 65 2 81.58000575 113 
123 9 1 3 13.75 MD 30 3.5366 s_5 65 2 81.58000575 113 
9 123 6 3 18.25 PM 30 3.5366 s_5 65 2 89.73800632 113 
123 130 7 1 7.915 AM 10.2 0.5137 s_5 36 2 81.58000575 114 
130 123 6 1 8.083 AM 10 0.5137 s_5 36 2 81.58000575 114 
123 130 7 1 12.915 MD 10.2 0.5137 s_5 36 2 81.58000575 114 
130 123 6 1 13.083 MD 10 0.5137 s_5 36 2 81.58000575 114 
123 130 2 1 7.915 AM 10.2 0.5137 s_5 4 1 81.58000575 115 
130 123 6 1 13.083 MD 10 0.5137 s_5 4 1 81.58000575 115 
130 131 3 5 10.083 MD 10 0.3929 s_5 67 2 81.58000575 116 
131 130 6 5 11.583 MD 10 0.3929 s_5 67 2 81.58000575 116 
130 334 1 2 18.082 PM 30.2 8.3072 s_5 57 2 81.58000575 117 
334 130 6 5 8.75 AM 30 8.3072 s_5 57 2 81.58000575 117 
130 76 1 3 6.75 AM 30 5.1252 s_5 25 2 73.42200517 118 
76 130 6 3 19.75 PM 30 5.1252 s_5 25 2 81.58000575 118 
130 130 1 3 9.542 AM 5 0 s_5 35 2 81.58000575 119 
130 130 6 3 11.042 MD 5 0 s_5 35 2 81.58000575 119 
130 127 3 3 15.083 MD 10 1.2711 s_5 35 2 81.58000575 119 
127 130 6 3 16.415 PM 10.2 1.2711 s_5 35 2 81.58000575 119 
123 101 1 3 8.083 AM 10 2.4928 s_5 29 1 81.58000575 120 
101 123 6 3 12.415 MD 10.2 2.4928 s_5 29 1 81.58000575 120 
123 101 1 3 13.915 MD 10.2 2.4928 s_5 29 1 81.58000575 120 
101 123 6 3 17.915 PM 10.2 2.4928 s_5 29 1 114.212008 120 
123 12 4 5 13.667 MD 20 3.6827 s_5 55 2 81.58000575 121 
12 123 6 5 14.835 MD 19.8 3.6827 s_5 55 2 81.58000575 121 
123 175 2 3 12.167 MD 20 3.7547 s_5 22 2 81.58000575 122 
175 123 6 3 14.835 MD 19.8 3.7547 s_5 22 2 81.58000575 122 
130 9 7 2 8.25 AM 30 3.5771 s_5 60 1 81.58 123 
9 130 6 2 13.25 MD 30 3.5771 s_5 60 1 81.58 123 
130 32 7 2 15.25 MD 30 4.2446 s_5 60 1 81.58 123 
32 130 6 2 18.25 PM 30 4.2446 s_5 60 1 73.42 123 
216 22 7 2 9.833 AM 40 7.211 s_2 40 2 41.84010417 124 
22 216 6 2 13.917 MD 110 7.211 s_2 40 2 41.84010417 124 
216 187 2 2 15.333 MD 100 4.7482 s_2 19 2 41.84010417 125 
187 216 6 2 22.25 MN 90 4.7482 s_2 19 2 41.84010417 125 
130 124 1 3 8.17 AM 20 0.9279 s_5 59 1 81.58 126 
124 130 6 3 12.17 MD 20 0.9279 s_5 59 1 81.58 126 
130 124 1 3 13.83 MD 20 0.9279 s_5 59 1 81.58 126 
124 130 6 3 18.17 PM 20 0.9279 s_5 59 1 114.21 126 
130 125 2 3 8.08 AM 10 0.8257 s_5 22 1 81.58 127 
125 130 6 3 12.08 MD 10 0.8257 s_5 22 1 81.58 127 
130 125 2 3 13.88 MD 15 0.8257 s_5 22 1 81.58 127 
125 130 6 3 18.08 PM 10 0.8257 s_5 22 1 114.21 127 
130 128 1 3 8.08 AM 10 1.1768 s_5 47 2 81.58 128 
128 130 6 3 18.08 PM 10 1.1768 s_5 47 2 114.21 128 
130 123 2 1 6.63 AM 15 0.5137 s_5 17 2 81.58 129 
